BUSINESS_NAME,BUSINESS_TYPE,Latitude,Longitude
Big Juice Ltd,Restaurant/Cafe/Canteen,51.453935147873466,-2.592216881748474
Bigger Baps,Restaurant/Cafe/Canteen,51.43062437124171,-2.6032791498461587
Bikkle Island,Restaurant/Cafe/Canteen,51.46890978130008,-2.56449300235301
Billies Cafe,Restaurant/Cafe/Canteen,51.482628035948885,-2.585559941798617
Bio Med Source Cafe,Restaurant/Cafe/Canteen,51.45717368699242,-2.5989562925837455
Bird & Blend Tea,Restaurant/Cafe/Canteen,51.454762506267784,-2.602762907236548
Bishops Tavern,Pub/bar/nightclub,51.46902332961978,-2.5924401737089355
Bishopston Fish Bar,Takeaway/sandwich shop,51.480163770021775,-2.587573117115447
BizaBiza,Restaurant/Cafe/Canteen,51.46887651349358,-2.537386546029535
Black Cumin,Restaurant/Cafe/Canteen,51.46296721634393,-2.605765504092095
Black Horse,Pub/bar/nightclub,51.46253374435087,-2.511753455352326
Black Peppers,Takeaway/sandwich shop,51.406481529570044,-2.5756328525548287
Black Sheep Coffee,Restaurant/Cafe/Canteen,51.456482319333446,-2.605741386657259
Blame Gloria,Pub/bar/nightclub,51.45438120542715,-2.59302895203278
Bloc Climbing,Restaurant/Cafe/Canteen,51.468094730778326,-2.5692344154170557
Blue Dolphin,Takeaway/sandwich shop,51.48872857134892,-2.673792205350537
Blue Fish,Takeaway/sandwich shop,51.49399495672055,-2.6172683755015025
Blue Ginger,Restaurant/Cafe/Canteen,51.412967143855006,-2.5587706522218436
Blue Sky Cafe,Restaurant/Cafe/Canteen,51.45886052546012,-2.5520212841665106
Blue Sky Pizza and Kebab,Takeaway/sandwich shop,51.459225783824124,-2.5452427743418853
Bocabar,Restaurant/Cafe/Canteen,51.445876385732674,-2.5911337886137713
Boigers,Restaurant/Cafe/Canteen,51.461011801878776,-2.5958639540952975
Boing! Bristol CIC,Restaurant/Cafe/Canteen,51.48960265375915,-2.56119606127753
Bokman Bristol Ltd,Restaurant/Cafe/Canteen,51.46344880222585,-2.5887413381056463
Bomba Tapas & Cocktails,Restaurant/Cafe/Canteen,51.47583111702422,-2.5888284769053085
Bombay Boulevard,Restaurant/Cafe/Canteen,51.452345167564296,-2.59739245189182
Bombil,Restaurant/Cafe/Canteen,51.442145529586526,-2.5937663050671516
Borderlands drop In @ St Nicholas Church,Restaurant/Cafe/Canteen,51.45922012290535,-2.576609182367132
Bosco,Restaurant/Cafe/Canteen,51.466526635626174,-2.6110526114884474
Bosco Pizzeria,Restaurant/Cafe/Canteen,51.45405685537298,-2.617622951546909
Boston Tea Party,Restaurant/Cafe/Canteen,51.48030177600755,-2.5868410536488162
Boston Tea Party,Restaurant/Cafe/Canteen,51.46744723664685,-2.612135222929262
Boswells,Restaurant/Cafe/Canteen,51.45628223169115,-2.5885474742994403
Bottles and Books,Pub/bar/nightclub,51.482751159554695,-2.5860119743732666
Box-E,Restaurant/Cafe/Canteen,51.44592738863066,-2.5985121047381994
Brace & Browns,Restaurant/Cafe/Canteen,51.46124411262856,-2.606850700209601
Brass Pig,Pub/bar/nightclub,51.456035720330576,-2.6070701070643936
Bravas,Restaurant/Cafe/Canteen,51.463821330794744,-2.6075615640591647
Bravos Kitchen @ Crafty Cow,Restaurant/Cafe/Canteen,51.49142204633458,-2.5822875862720744
Brew Coffee & Bakery Ltd,Restaurant/Cafe/Canteen,51.471086366926656,-2.5916509670089516
Brew Social,Restaurant/Cafe/Canteen,51.4465933362974,-2.6209467710868277
BrewDog,Pub/bar/nightclub,51.45306805638947,-2.591399811571663
Brewdog,Pub/bar/nightclub,51.449258524662426,-2.601011560512727
Brewhouse and Kitchen Bristol,Pub/bar/nightclub,51.46316925295767,-2.606545541691587
Brewnel's Coffee House,Restaurant/Cafe/Canteen,51.457968492740115,-2.5932338594523463
Brewnel's Coffee House,Restaurant/Cafe/Canteen,51.45779956358337,-2.596312129558853
Brewnel's Coffee House,Restaurant/Cafe/Canteen,51.45735204177756,-2.595989048882678
Brewnel's Coffee House,Restaurant/Cafe/Canteen,51.458701193179124,-2.594815667076673
Brewnels Plus - Level 9,Restaurant/Cafe/Canteen,51.45893160948388,-2.594742952088645
BRIGHT'S,Restaurant/Cafe/Canteen,51.470059225675165,-2.5183701615544285
Brislington & St Annes Conservative Club Ltd,Pub/bar/nightclub,51.438024624019725,-2.5503421726605904
Brislington Cricket Club,Pub/bar/nightclub,51.43342886554317,-2.529081235448634
Brislington Football Club,Pub/bar/nightclub,51.4296265893702,-2.526318198184909
Brisnoodles.com,Restaurant/Cafe/Canteen,51.454825416627834,-2.5993675662840174
Bristol 1904 Arts,Pub/bar/nightclub,51.454825416627834,-2.5993675662840174
Bristol Aquarium,Restaurant/Cafe/Canteen,51.45040713299515,-2.6016119178945383
Bristol Arrow Bowling Club,Restaurant/Cafe/Canteen,51.46756511826227,-2.5962271380112596
Bristol Arrow Bowling Club,Pub/bar/nightclub,51.46778427508144,-2.593994370608242
Bristol Beacon,Pub/bar/nightclub,51.45422898237869,-2.5962116804050765
Bristol Best Delight Kebab,Restaurant/Cafe/Canteen,51.45900873643737,-2.5532292529642113
bristol born burgers BB3,Restaurant/Cafe/Canteen,51.46127431072562,-2.595410910684212
Bristol Bowling Club,Pub/bar/nightclub,51.43980427206228,-2.615717931463993
Bristol Bridge Club,Pub/bar/nightclub,51.44913349303571,-2.618463386476812
Bristol Central Lawn Tennis Club,Pub/bar/nightclub,51.474288761756654,-2.5843442623060278
BRISTOl CHONGQING LTD,Restaurant/Cafe/Canteen,51.454816469014794,-2.6012527528532883
Bristol City Council,Pub/bar/nightclub,51.48222461462929,-2.675684219984806
Bristol City Robins Foundation,Takeaway/sandwich shop,51.43941536297041,-2.6196984254060847
Bristol Civil Service Club,Pub/bar/nightclub,51.488740672229724,-2.578911377182463
Bristol Commonwealth Society,Pub/bar/nightclub,51.45836092107083,-2.6079209889548967
Bristol Community Links North,Restaurant/Cafe/Canteen,51.507579219451564,-2.5988057110135583
Bristol County Conservative Club,Pub/bar/nightclub,51.479361608862945,-2.585979051296686
Bristol County Sports Club,Pub/bar/nightclub,51.45477032322918,-2.596157250522057
Bristol Fish Bar,Takeaway/sandwich shop,51.43604683312098,-2.590789782811772
Bristol Folk House,Restaurant/Cafe/Canteen,51.45382837787058,-2.6007116639868215
Bristol Fryer,Restaurant/Cafe/Canteen,51.48463826390971,-2.5845768511923692
Bristol Independent Gaming,Restaurant/Cafe/Canteen,51.414841274294965,-2.608294920332249
Bristol Indoor Bowls Club Ltd,Pub/bar/nightclub,51.428045195389316,-2.6286204635186112
Bristol International Student Centre,Restaurant/Cafe/Canteen,51.45708766265505,-2.6019306614179394
Bristol Kebab House,Takeaway/sandwich shop,51.412967143855006,-2.5587706522218436
Bristol Kebab House,Takeaway/sandwich shop,51.465648688032886,-2.5786192719504464
Bristol Manor Farm AFC Limited,Restaurant/Cafe/Canteen,51.48199093194312,-2.6484451721470457
Bristol Old Vic Bar & Kitchen,Restaurant/Cafe/Canteen,51.45147399029732,-2.5935660445789277
Bristol Refugee Rights,Restaurant/Cafe/Canteen,51.455780985467364,-2.562347965482497
Bristol Rovers Football Club,Restaurant/Cafe/Canteen,51.48744657033989,-2.582351655844657
Bristol Twelve,Restaurant/Cafe/Canteen,51.455065922440106,-2.6172758527311957
BristoL’eclair,Takeaway/sandwich shop,51.46977400139008,-2.5433669482307653
Broad Plain RFC,Pub/bar/nightclub,51.43518875254953,-2.593324926402396
Broken Dock,Pub/bar/nightclub,51.44927212318872,-2.6044747052777493
Broomhill Fish and Chips,Takeaway/sandwich shop,51.440471741223675,-2.5365440385109568
Brown & Bye Restaurant and Bar,Restaurant/Cafe/Canteen,51.44963585576532,-2.6046001100484606
Browns Restaurant,Restaurant/Cafe/Canteen,51.45638669876831,-2.6052599625730593
Bruhaha,Pub/bar/nightclub,51.44037720709454,-2.5734640639336934
Brunel,Pub/bar/nightclub,51.43518875254953,-2.593324926402396
Brunel Raj,Restaurant/Cafe/Canteen,51.4545889252026,-2.619055014562659
Brunel's Buttery,Restaurant/Cafe/Canteen,51.4466472280144,-2.5985575400756535
BS3 Community Development,Restaurant/Cafe/Canteen,51.4375289495309,-2.6074705911936777
BSB Waterside,Pub/bar/nightclub,51.45021399071092,-2.5971484340996365
Bubble Play Cafe,Restaurant/Cafe/Canteen,51.44067489876207,-2.598620112393736
Bubbleology,Takeaway/sandwich shop,51.45832025664694,-2.5837701434285787
Budapest Cafe,Restaurant/Cafe/Canteen,51.46262736192529,-2.6122389542511897
Buenasado Argentine Steakhouse,Restaurant/Cafe/Canteen,51.466527635608706,-2.6110526118876045
Bunsik,Restaurant/Cafe/Canteen,51.45768519189234,-2.583282895312926
Burger & Kebab House,Takeaway/sandwich shop,51.445436396779264,-2.5500138512542705
Burger Dream,Takeaway/sandwich shop,51.43444868356225,-2.5436124698062277
Burger Guys,Restaurant/Cafe/Canteen,51.4816687401619,-2.5866606308474065
Burger King,Restaurant/Cafe/Canteen,51.45781135836001,-2.5887404759994266
Burger King,Restaurant/Cafe/Canteen,51.442500193742276,-2.56043970118915
Burger King,Restaurant/Cafe/Canteen,51.472626217105855,-2.565805987517452
Burger King,Restaurant/Cafe/Canteen,51.456282130756954,-2.5885374732392292
Burger King,Restaurant/Cafe/Canteen,51.41523294731667,-2.5990515866510533
Burger Rush,Restaurant/Cafe/Canteen,51.45930279313766,-2.5460938401688247
Burger Station,Takeaway/sandwich shop,51.46332829457131,-2.5693765192279394
Burger Theory Bristol Ltd/OM Burger Events,Restaurant/Cafe/Canteen,51.45322795892725,-2.5933880419857496
Burra,Restaurant/Cafe/Canteen,51.440701280110275,-2.6109384890882446
Burra,Restaurant/Cafe/Canteen,51.4687818230845,-2.6114994882947107
Burra,Restaurant/Cafe/Canteen,51.45548201467208,-2.6200450177125227
Bushra Lounge,Restaurant/Cafe/Canteen,51.48365416144051,-2.585529931373066
Buzz Bingo,Restaurant/Cafe/Canteen,51.47757768964571,-2.5340412502811196
Bytebox Kitchens,Takeaway/sandwich shop,51.47689566179862,-2.605905665886904
C.U.P. Speciality Coffee & Tea,Restaurant/Cafe/Canteen,51.45486483728806,-2.602160755234509
Cadbury Kitchen,Pub/bar/nightclub,51.466611960974426,-2.585714843525663
Cafe 31,Restaurant/Cafe/Canteen,51.44849611892977,-2.5721556813434368
Cafe 360 - Clifton Observatory,Restaurant/Cafe/Canteen,51.457250204219505,-2.6224300502312765
Cafe 388,Restaurant/Cafe/Canteen,51.483553749063155,-2.5855614351213743
Cafe 5 - Catacolours,Restaurant/Cafe/Canteen,51.46513418670122,-2.554616473939502
Cafe Amore,Restaurant/Cafe/Canteen,51.45598996504606,-2.5915116628256847
Cafe Ang,Restaurant/Cafe/Canteen,51.41618705232118,-2.615908736508469
Cafe Atlas,Restaurant/Cafe/Canteen,51.45347729760149,-2.5917391031625305
Cafe Bar at St Georges,Restaurant/Cafe/Canteen,51.453485410994,-2.6028470093396465
Cafe Casa,Restaurant/Cafe/Canteen,51.45841802440756,-2.5893998262424915
Cafe Casa,Restaurant/Cafe/Canteen,51.45840942577924,-2.5894825329780584
Cafe Cuba,Restaurant/Cafe/Canteen,51.4620534996742,-2.5889284445682015
Cafe Des Amis Southmead,Restaurant/Cafe/Canteen,51.49961643841391,-2.606712542359541
Cafe Downs,Restaurant/Cafe/Canteen,51.47200329352317,-2.6179937447621153
Cafe Dream,Restaurant/Cafe/Canteen,51.47801745523068,-2.588611326430001
Cafe Grounded,Restaurant/Cafe/Canteen,51.459224765932326,-2.5512891415555705
Cafe Grounded,Restaurant/Cafe/Canteen,51.48463826432845,-2.5845778507856916
Cafe Grounded,Restaurant/Cafe/Canteen,51.443388208598364,-2.592122779180432
Cafe Grounded,Restaurant/Cafe/Canteen,51.4799598545712,-2.528077452471344
Cafe Grounded,Restaurant/Cafe/Canteen,51.44012087778511,-2.553979379834469
Cafe Kenya - Knowle DGE,Restaurant/Cafe/Canteen,51.42414095303762,-2.592737829095279
Cafe Kino,Restaurant/Cafe/Canteen,51.46365880199923,-2.5881682667441517
Cafe Local,Restaurant/Cafe/Canteen,51.44923289284492,-2.5792934593471424
Cafe Mocha,Restaurant/Cafe/Canteen,51.4570739401941,-2.590231819974167
Cafe On The Common,Restaurant/Cafe/Canteen,51.4846529417633,-2.5943286107321457
Café on the Square,Restaurant/Cafe/Canteen,51.487806760792374,-2.6457768776179895
Cafe Revival,Restaurant/Cafe/Canteen,51.45422416714682,-2.592090860793644
Caffe Arabica,Restaurant/Cafe/Canteen,51.4789900567763,-2.611261975454803
Caffe Exchange,Restaurant/Cafe/Canteen,51.45373112192561,-2.59186885100429
Caffe Gusto,Restaurant/Cafe/Canteen,51.45098616316117,-2.6010728546610977
Caffe Nero,Restaurant/Cafe/Canteen,51.45537819040858,-2.589659595152161
Caffe Nero,Restaurant/Cafe/Canteen,51.45455288396856,-2.6172688899333227
Caffe Nero,Restaurant/Cafe/Canteen,51.45811329837232,-2.585808160817114
Caffe Nero,Restaurant/Cafe/Canteen,51.453861155196826,-2.5926769312077047
Caffe Nero,Restaurant/Cafe/Canteen,51.45697576801669,-2.606145976083003
Caffe Nero,Restaurant/Cafe/Canteen,51.45628323116486,-2.5885484731668904
Caffè Nero,Restaurant/Cafe/Canteen,51.46340271677062,-2.608251637858558
