LSOA21CD,LSOA21NM,LSOA21LN,IMDScore,Income,Employment,EducationScore,CrimeScore,LivingEnvironmentScore,POP2022Total,Period_Total_Crimes,Crime_Rate
E01014597,Bristol 051D,Bishport Avenue West,55.88,45.5,33.0,78.8,1.6,6.9,1409,252,178.85024840312278
E01014598,Bristol 048B,Imperial Park,6.93,6.7,4.4,13.6,0.4,10.6,2217,390,175.91339648173206
E01014599,Bristol 048C,Headley Park,11.48,11.7,7.6,23.7,0.1,20.8,1298,83,63.94453004622497
E01014600,Bristol 048D,Whitchurch Road,23.82,22.7,13.8,37.0,0.7,18.1,1496,121,80.88235294117648
E01014601,Bristol 001A,Brentry West,23.95,27.6,16.0,29.0,0.3,9.0,1872,214,114.31623931623932
E01014602,Bristol 001B,Henbury,34.83,36.2,21.6,43.0,1.2,14.3,2017,290,143.77788795240457
E01014603,Bristol 001C,Brentry East,19.14,23.5,14.2,23.4,0.2,3.2,2655,176,66.29001883239172
E01014605,Bristol 001E,Crow Lane,53.76,49.6,30.1,58.2,1.4,16.9,1842,325,176.4386536373507
E01014607,Bristol 047A,Hengrove Park,21.63,23.0,10.6,26.4,1.5,8.5,1746,345,197.59450171821305
E01014608,Bristol 047B,Hengrove West,36.3,37.0,23.1,46.8,1.1,9.2,1837,239,130.10342950462712
E01014609,Bristol 047C,Two Acres,28.75,27.8,16.7,47.9,0.7,12.9,1829,122,66.70311645708037
E01014610,Bristol 047D,Wharnecliffe Gardens,34.07,33.9,18.9,50.7,0.8,10.2,1561,98,62.780269058295964
E01014611,Bristol 052A,Fortfield West,15.35,16.7,13.5,19.0,0.2,9.7,1469,131,89.17631041524847
E01014612,Bristol 052B,Fortfield East,20.83,23.6,14.1,33.3,0.4,12.0,1535,72,46.90553745928339
E01014613,Bristol 047E,Hengrove Lane,14.13,14.9,9.1,21.8,0.0,24.4,1564,85,54.34782608695652
E01014614,Bristol 047F,Hengrove East,13.43,14.4,10.3,21.4,0.1,10.1,1396,100,71.63323782234957
E01014615,Bristol 011A,Golden Hill,1.95,4.3,4.0,0.5,-1.4,15.2,1601,101,63.08557151780138
E01014616,Bristol 006A,Henleaze West,6.43,6.2,5.4,0.7,-0.9,41.7,1544,274,177.46113989637306
E01014617,Bristol 011B,West Broadway,1.3,2.8,2.8,0.3,-1.2,9.6,1410,48,34.04255319148936
E01014618,Bristol 011C,Henleaze North,2.41,1.6,3.4,0.1,-0.8,20.1,1654,65,39.29866989117291
E01014619,Bristol 017A,North View,7.36,5.5,5.7,0.6,-0.8,50.2,1494,72,48.19277108433735
E01014620,Bristol 011D,Henleaze South,2.96,3.2,5.1,0.5,-1.2,23.5,1681,56,33.31350386674598
E01014621,Bristol 017B,Westbury Park North,8.14,7.9,6.3,0.8,-0.9,44.6,1520,76,50.0
E01014622,Bristol 021A,Hillfields West,24.07,25.5,15.1,21.7,0.5,39.0,1805,149,82.54847645429362
E01014623,Bristol 021B,Mayfield Park,20.81,21.8,12.4,25.3,0.4,28.3,1816,153,84.2511013215859
E01014624,Bristol 018A,Lodge Hill,24.14,28.4,15.4,38.9,0.0,12.8,1790,92,51.39664804469274
E01014626,Bristol 021C,Speedwell,28.92,32.8,16.2,32.2,1.0,13.4,2790,321,115.05376344086021
E01014627,Bristol 021D,Chester Park,18.59,18.9,10.5,32.2,0.3,22.5,2227,264,118.54512797485405
E01014629,Bristol 018D,Hillfields North,29.47,34.1,17.3,40.5,0.5,12.0,1540,89,57.79220779220779
E01014630,Bristol 005A,Sheridan Road,38.26,39.7,18.6,44.8,1.0,7.9,2196,188,85.61020036429873
E01014631,Bristol 004A,Monks Park,19.91,18.4,12.2,9.5,0.5,14.1,1237,281,227.16248989490703
E01014632,Bristol 004B,Filton Road,17.42,19.7,10.6,12.6,-0.1,12.1,2199,372,169.16780354706685
E01014633,Bristol 004C,Manor Farm,9.97,11.6,7.6,7.5,0.1,17.9,1879,161,85.68387440127727
E01014634,Bristol 005B,Keys Avenue,9.02,8.6,4.7,3.7,-0.1,27.4,1816,130,71.58590308370044
E01014635,Bristol 010B,Wessex Avenue,9.55,9.1,5.4,4.9,0.3,30.0,2073,197,95.03135552339604
E01014636,Bristol 004D,Horfield Common,30.57,29.6,21.2,29.2,1.1,18.0,1632,240,147.05882352941177
E01014637,Bristol 010C,Wellington Hill,10.77,5.7,4.4,1.1,0.5,49.6,1652,145,87.772397094431
E01014638,Bristol 003C,Lawrence Weston Parade,53.97,45.2,27.3,71.4,1.6,15.6,1885,493,261.53846153846155
E01014639,Bristol 003D,Lawrence Weston South,60.16,57.3,35.0,72.1,1.3,10.4,1603,213,132.87585776668746
E01014640,Bristol 003E,Lawrence Weston East,34.28,36.1,20.4,49.8,0.7,10.7,1651,216,130.8298001211387
