OBJECTID,LSOA21CD,LSOA21NM,LSOA21LN,IMDScore,IMDRank,IMDDecile,IMDpRank,IMDBrisRank,IMDBrisDecile,Income,IncomeRank,IncomeDecile,Employment,EmploymentRank,EmploymentDecile,EducationSkillsTrainingScore,EducationSkillsTrainingRank,EducationSkillsTrainingdecile,HealthDisabilityScore,HealthDisabilityRank,HealthDisabilityDecile,CrimeScore,CrimeRank,CrimeDecile,BarriersHousingServicesScore,BarriersHousingServicesRank,BarriersHousingServicesDecile,LivingEnvironmentScore,LivingEnvironmentRank,LivingEnvironmentDecile,IDACI,IDACIRank,IDACIDecile,IDAOPI,IDAOPIRank,IDAOPIDecile,SUBCYPScore,SUBCYPRank,SUBCYPDecile,SUBSkillsScore,SUBSkillsRank,SUBSkillsDecile,SUBGeogBarriersScore,SUBGeogBarriersRank,SUBGeogBarriersDecile,SUBWiderBarriersScore,SUBWiderBarriersRank,SUBWiderBarriersDecile,SUBIndoorsScore,SUBIndoorsRank,SUBIndoorsDecile,SUBOutdoorsScore,SUBOutdoorsRank,SUBOutdoorsDecile,POP2022Total,POP2022Children,POP2022Older,POP2022WAP,ShapeSTArea,ShapeSTLength
40,E01014527,Bristol 038E,School Road,20.73,14146,5,41.91,124,5,19,16391,5,14.1,12373,4,13.4,19489,6,0.5,9283,3,0.4,11592,4,13.3,26423,8,37.8,5770,2,15.5,26437,8,25.4,10183,4,0.1,14982,5,0.2,23150,7,25.1,24639,8,0.4,14264,5,0.7,5231,2,0.4,9047,3,1387,194,378,912,412720.540617645,4158.69499983776
41,E01014528,Bristol 035A,Newbridge Road,13.12,21320,7,63.16,173,7,14.5,20678,7,9.2,20383,7,9.8,22919,7,0,15795,5,0,16162,5,14.1,25329,8,27.5,10632,4,24.8,19819,6,11,20750,7,-0.1,17347,6,0.1,27679,9,30,19847,6,-0.1,16420,5,0.5,7404,3,-0.2,19184,6,1590,277,214,1156,500151.77596107,4599.63702055127
42,E01014529,Bristol 035B,St Annes Park,35.37,6034,2,17.88,52,2,36.7,6542,2,20.4,6382,2,56.9,2051,1,0.8,6428,2,0.8,6382,2,19,18445,6,12.5,21293,7,52.7,7036,3,40,4733,2,1.8,701,1,0.3,6820,3,32.9,16804,5,0.8,12586,4,0,16078,5,-0.9,29917,9,1481,297,247,1012,187395.22818095,2805.26835371721
43,E01014530,Bristol 035C,Wootton Road,14.8,19543,6,57.9,159,6,17.1,18026,6,10.6,17584,6,13.8,19184,6,0.2,13055,4,0.1,15004,5,18.7,18792,6,10.1,23615,7,24.1,20260,7,15.9,16039,5,0.1,15171,5,0.2,22185,7,37.5,12363,4,-0.4,17471,6,-0.1,18234,6,-1.1,31801,10,1463,268,246,1010,295807.615569675,3870.95360740058
44,E01014531,Bristol 035D,Sandy Park Road,8.9,26343,8,78.04,207,8,9.9,26252,8,5.6,29196,9,5.6,27514,9,-0.1,18199,6,0.2,14034,5,11.5,28569,9,25.3,11933,4,14.4,27237,9,10.8,20985,7,-0.4,22060,7,0.1,31439,10,24.6,25060,8,-0.1,16401,5,0.3,10424,4,0.2,12261,4,2106,292,255,1637,360016.147849885,6140.40767471052
45,E01014532,Bristol 035E,Sandholme Road,12.03,22562,7,66.84,181,7,15.4,19632,6,7.7,23795,8,14.3,18731,6,0,16593,5,-0.3,20441,7,10.8,29326,9,25.3,11927,4,29.5,17037,6,15.2,16603,5,0.2,13170,4,0.2,24364,8,26.2,23591,7,-0.6,18523,6,0.5,7857,3,-0.4,23352,7,1501,262,269,1052,141976.91793585,2108.62963903902
46,E01014533,Bristol 043A,Bath Road,12.84,21609,7,64.02,176,7,12.3,23033,7,7.4,24576,8,8.1,24686,8,-0.2,19290,6,0.4,10788,4,9.3,30800,10,40.6,4732,2,21.5,21941,7,8,24776,8,-0.3,20443,7,0.2,27291,9,24.3,25335,8,-0.9,19820,6,0.7,4634,2,0.5,7776,3,1595,296,314,1071,291739.5592571,4191.01036746901
47,E01014534,Bristol 043B,Kensington Park,15.99,18246,6,54.05,152,6,10.4,25469,8,7.6,24081,8,5.3,27890,9,0.4,11138,4,1.2,2474,1,12,28017,9,34.5,7123,3,12.7,28474,9,10.4,21453,7,-0.6,25844,8,0.1,27597,9,25.5,24244,8,-0.1,16245,5,0.6,6092,2,0.3,10590,4,1664,276,285,1174,448091.506491785,5538.91342918364
48,E01014535,Bristol 043C,Callington Road,9.77,25231,8,74.75,200,8,10.9,24846,8,7.3,24896,8,10.6,22083,7,-0.8,27251,9,0.3,12115,4,8.7,31254,10,27.4,10700,4,21.1,22265,7,5.5,29131,9,-0.5,23556,7,0.2,18867,6,27.9,21974,7,-1.8,24008,8,0.2,11572,4,0.6,6929,3,2020,388,489,1251,462243.637950125,4692.41999066825
49,E01014536,Bristol 043D,Hicks Gate,33.03,6928,3,20.52,64,3,29.8,9621,3,21.8,5515,2,36.1,6648,2,1,4241,2,0.9,4970,2,20.9,15810,5,13.6,20340,7,53.5,6800,3,18.1,14516,5,0.8,6174,2,0.3,7187,3,31.6,18130,6,1.5,9792,3,-0.2,20486,7,0.1,14596,5,1658,259,424,1079,1248398.79455965,6452.37983318461
50,E01014537,Bristol 035F,Eldonwall,17.89,16458,5,48.76,142,6,23.1,13535,5,12.2,14941,5,22.5,12769,4,0.3,12675,4,-0.1,18143,6,16.3,22402,7,13.2,20693,7,36.5,13557,5,23,11485,4,0.5,9325,3,0.2,16526,5,26.8,23021,7,1,11650,4,-0.1,17361,6,-0.4,22717,7,1827,365,314,1209,345951.703293475,3304.43854325126
51,E01014538,Bristol 060A,Woodland Road,8.08,27351,9,81.03,218,9,3.7,33052,10,1.7,33675,10,3.4,30171,9,-0.5,23779,8,-0.9,29094,9,10.6,29608,9,53.1,1669,1,20.9,22392,7,13.6,18092,6,-0.6,25176,8,0.1,33664,10,12.2,32062,10,0.4,13915,5,1.1,1673,1,0.4,9813,3,1961,60,71,1861,232158.642044785,2898.9066672484
52,E01014539,Bristol 025A,Kingsdown Parade,8.02,27447,9,81.31,220,9,6.7,30355,9,4.7,31134,10,3.7,29772,9,-0.5,23916,8,-0.3,21369,7,9.9,30208,9,43.3,3875,2,8.8,31124,10,11.2,20611,7,-0.5,24499,8,0.1,33587,10,13,31833,10,0.2,14817,5,1,2562,1,-0.2,18412,6,1932,164,256,1577,157832.49578245,2591.92261933899
53,E01014544,Bristol 030A,Clifton Down,4.54,31384,10,92.98,251,10,2.9,33379,10,1.9,33646,10,7.9,24938,8,-1.4,32054,10,-1,29758,9,3.9,33537,10,33.5,7568,3,3.4,33436,10,3.1,32676,10,0,16948,6,0.1,33459,10,21.4,27624,9,-3.2,29131,9,0.7,5096,2,-0.1,18116,6,1182,127,308,789,574714.069916025,4998.14242158011
54,E01014545,Bristol 030B,Clifton College,4.74,31185,10,92.39,248,10,5,32101,10,3.2,33120,10,3.4,30064,9,-1.4,32184,10,-0.9,28355,9,7.9,31863,10,35.8,6560,2,3.3,33454,10,18.8,14026,5,-0.6,24926,8,0,33725,10,17.9,29839,9,-0.7,18928,6,0.8,4462,2,-0.1,17278,6,1848,252,321,1301,254718.18382465,3724.16459503036
55,E01014546,Bristol 030C,Clifton Central,6.11,29616,9,87.74,239,9,2.9,33388,10,2.7,33390,10,3.9,29511,9,-0.8,28040,9,-0.4,21989,7,11.8,28220,9,38.4,5513,2,7.7,31682,10,5.8,28520,9,-0.5,24001,8,0.1,33640,10,16.1,30744,10,0.7,12974,4,0.8,3820,2,0,16405,5,1576,77,242,1329,148138.61019555,3003.61506564509
